language	ID	basic	np	Dist_D	Dist_N	Dist_A	SatisfiedCorrelations
Afrikaans_2.8	2272558	SVO	AN_D	1	1	2	6
Afrikaans_2.8	2432248	OSV	AN_D	1	1	2	5
Afrikaans_2.8	3049200	OSV	AN_D	1	1	2	6
Afrikaans_2.8	4758453	OSV	AN_D	1	1	2	5
Afrikaans_2.8	4869876	OSV	AN_D	1	1	2	6
Afrikaans_2.8	5686896	SVO	AN_D	1	1	2	3
Afrikaans_2.8	5865172	SVO	AN_D	1	1	2	6
Afrikaans_2.8	5875076	SVO	DAN_	3	1	2	6
Afrikaans_2.8	6348666	SVO	A_ND	2	1	1	6
Afrikaans_2.8	7996462	SVO	AN_D	1	1	2	6
Akkadian_2.8	2076328	OSV	NDA_	2	3	1	5
Akkadian_2.8	4994306	OSV	DNA_	3	2	1	3
Akkadian_2.8	5306255	SVO	DA_N	2	1	1	5
Akkadian_2.8	5449123	OSV	DNA_	3	2	1	3
Akkadian_2.8	598615	SOV	DNA_	3	2	1	5
Akkadian_2.8	6294461	OSV	DNA_	3	2	1	3
Akkadian_2.8	6624101	SVO	DNA_	3	2	1	3
Akkadian_2.8	6760821	OSV	DNA_	3	2	1	4
Akkadian_2.8	7847616	OSV	NDA_	2	3	1	3
Akkadian_2.8	9790181	SVO	DNA_	3	2	1	3
Amharic_2.8	1265076	SOV	DAN_	3	1	2	7
Amharic_2.8	1331329	SVO	AN_D	1	1	2	3
Amharic_2.8	1587513	SVO	A_DN	1	2	1	6
Amharic_2.8	3364759	SOV	AD_N	1	1	2	8
Amharic_2.8	3622590	SOV	AD_N	1	1	2	8
Amharic_2.8	4426094	SOV	AD_N	1	1	2	8
Amharic_2.8	5562544	SOV	NA_D	1	2	1	3
Amharic_2.8	7986741	SOV	AD_N	1	1	2	8
Amharic_2.8	8665157	SOV	AD_N	1	1	2	4
Amharic_2.8	910877	SOV	AN_D	1	1	2	2
Ancient_Greek_2.8	113365	SVO	AN_D	1	1	2	7
Ancient_Greek_2.8	1908552	SVO	AN_D	1	1	2	7
Ancient_Greek_2.8	2645379	SVO	AN_D	1	1	2	7
Ancient_Greek_2.8	3551702	SVO	AN_D	1	1	2	7
Ancient_Greek_2.8	4260415	SOV	AD_N	1	1	2	6
Ancient_Greek_2.8	4740474	SVO	AD_N	1	1	2	3
Ancient_Greek_2.8	6971896	SOV	AD_N	1	1	2	6
Ancient_Greek_2.8	7736577	SVO	AD_N	1	1	2	6
Ancient_Greek_2.8	834767	SVO	AN_D	1	1	2	7
Ancient_Greek_2.8	8947563	SVO	AN_D	1	1	2	7
Arabic_2.8	2130044	SOV	DNA_	3	2	1	8
Arabic_2.8	2532806	SOV	NDA_	2	3	1	8
Arabic_2.8	2741993	SOV	DAN_	3	1	2	8
Arabic_2.8	3284041	SOV	DNA_	3	2	1	8
Arabic_2.8	3782996	SOV	DNA_	3	2	1	8
Arabic_2.8	653541	SOV	NDA_	2	3	1	8
Arabic_2.8	6991789	SOV	DNA_	3	2	1	8
Arabic_2.8	8027855	SOV	DNA_	3	2	1	8
Arabic_2.8	8479609	SOV	NDA_	2	3	1	8
Arabic_2.8	8931361	SVO	DNA_	3	2	1	5
Armenian_2.8	1844559	SVO	DA_N	2	1	1	7
Armenian_2.8	2094644	SOV	A_ND	2	1	1	5
Armenian_2.8	2396216	SOV	NA_D	1	2	1	8
Armenian_2.8	3858706	SVO	NDA_	2	3	1	8
Armenian_2.8	4337802	SOV	NA_D	1	2	1	7
Armenian_2.8	4400847	SOV	NA_D	1	2	1	8
Armenian_2.8	5623436	SOV	NA_D	1	2	1	7
Armenian_2.8	5723886	SOV	A_DN	1	2	1	7
Armenian_2.8	5904814	SVO	AN_D	1	1	2	7
Armenian_2.8	8917197	SVO	A_ND	2	1	1	8
Bambara_2.8	1009497	SOV	A_ND	2	1	1	7
Bambara_2.8	1157463	SOV	A_DN	1	2	1	3
Bambara_2.8	1392314	SOV	A_DN	1	2	1	4
Bambara_2.8	2516851	SOV	NDA_	2	3	1	3
Bambara_2.8	4173344	SOV	A_DN	1	2	1	7
Bambara_2.8	4753600	SOV	A_ND	2	1	1	7
Bambara_2.8	6239982	SOV	A_DN	1	2	1	4
Bambara_2.8	6296346	SOV	A_DN	1	2	1	4
Bambara_2.8	6850054	SOV	A_DN	1	2	1	3
Bambara_2.8	8382079	SOV	NA_D	1	2	1	7
Basque_2.8	2228511	SOV	DNA_	3	2	1	8
Basque_2.8	2435855	SOV	NDA_	2	3	1	8
Basque_2.8	4006251	SOV	A_ND	2	1	1	8
Basque_2.8	5012702	SOV	DNA_	3	2	1	7
Basque_2.8	5258940	SOV	DNA_	3	2	1	8
Basque_2.8	5851041	SOV	DNA_	3	2	1	8
Basque_2.8	8534054	SOV	DNA_	3	2	1	8
Basque_2.8	8655713	SOV	NDA_	2	3	1	8
Basque_2.8	9091841	SOV	NDA_	2	3	1	8
Basque_2.8	9970684	SOV	DNA_	3	2	1	8
Belarusian_2.8	1039579	SVO	DA_N	2	1	1	8
Belarusian_2.8	1081619	SVO	DA_N	2	1	1	8
Belarusian_2.8	1304892	SVO	DA_N	2	1	1	6
Belarusian_2.8	2663887	SVO	DA_N	2	1	1	8
Belarusian_2.8	3278050	SVO	A_ND	2	1	1	5
Belarusian_2.8	5510839	SVO	DA_N	2	1	1	8
Belarusian_2.8	5812576	SVO	DA_N	2	1	1	8
Belarusian_2.8	6221961	SVO	DA_N	2	1	1	6
Belarusian_2.8	9232419	SVO	DA_N	2	1	1	8
Belarusian_2.8	9730617	SVO	A_DN	1	2	1	5
Breton_2.8	151356	OSV	A_ND	2	1	1	5
Breton_2.8	1689071	OSV	DA_N	2	1	1	6
Breton_2.8	1897885	OSV	A_ND	2	1	1	3
Breton_2.8	2361528	SOV	ADN_	2	1	3	3
Breton_2.8	256414	SOV	AN_D	1	1	2	7
Breton_2.8	3460835	SOV	DA_N	2	1	1	4
Breton_2.8	4845744	OSV	DAN_	3	1	2	5
Breton_2.8	4941102	SVO	DAN_	3	1	2	6
Breton_2.8	5142327	SOV	AN_D	1	1	2	8
Breton_2.8	6658111	SOV	AN_D	1	1	2	7
Bulgarian_2.8	1270354	SOV	DA_N	2	1	1	3
Bulgarian_2.8	1951167	SOV	AN_D	1	1	2	8
Bulgarian_2.8	2507611	SOV	NA_D	1	2	1	8
Bulgarian_2.8	397038	SOV	NA_D	1	2	1	8
Bulgarian_2.8	4439299	SOV	DAN_	3	1	2	6
Bulgarian_2.8	59347	SOV	NA_D	1	2	1	8
Bulgarian_2.8	6515421	SOV	DNA_	3	2	1	6
Bulgarian_2.8	7320966	SOV	DAN_	3	1	2	6
Bulgarian_2.8	8753418	SOV	AN_D	1	1	2	8
Bulgarian_2.8	8877405	SOV	DAN_	3	1	2	5
Buryat_2.8	2098686	SOV	DAN_	3	1	2	3
Buryat_2.8	2140840	SOV	DA_N	2	1	1	7
Buryat_2.8	2330247	SOV	A_DN	1	2	1	6
Buryat_2.8	3757432	SOV	NDA_	2	3	1	6
Buryat_2.8	516887	SOV	DAN_	3	1	2	3
Buryat_2.8	6286989	SOV	DAN_	3	1	2	2
Buryat_2.8	703074	SOV	NDA_	2	3	1	6
Buryat_2.8	7174002	SVO	NAD_	1	3	2	5
Buryat_2.8	7998680	SOV	DNA_	3	2	1	3
Buryat_2.8	9097146	SOV	NDA_	2	3	1	7
Cantonese_2.8	1290130	SVO	ADN_	2	1	3	5
Cantonese_2.8	2403414	SOV	ADN_	2	1	3	7
Cantonese_2.8	2863393	SOV	A_ND	2	1	1	5
Cantonese_2.8	2880586	SOV	DNA_	3	2	1	6
Cantonese_2.8	3727443	SOV	ADN_	2	1	3	7
Cantonese_2.8	3776223	SOV	DNA_	3	2	1	6
Cantonese_2.8	4759783	SOV	DNA_	3	2	1	6
Cantonese_2.8	8218626	SOV	DNA_	3	2	1	6
Cantonese_2.8	8753952	SOV	ADN_	2	1	3	5
Cantonese_2.8	9515852	SOV	DNA_	3	2	1	6
Catalan_2.8	169342	SOV	A_DN	1	2	1	8
Catalan_2.8	221328	SOV	NA_D	1	2	1	8
Catalan_2.8	2600803	SOV	A_DN	1	2	1	8
Catalan_2.8	3591881	OSV	A_DN	1	2	1	7
Catalan_2.8	3922153	SOV	NA_D	1	2	1	8
Catalan_2.8	6487202	SOV	A_DN	1	2	1	8
Catalan_2.8	6648767	SOV	NA_D	1	2	1	8
Catalan_2.8	7932728	SOV	NA_D	1	2	1	8
Catalan_2.8	802152	SOV	A_DN	1	2	1	8
Catalan_2.8	9992444	SOV	A_DN	1	2	1	5
Chinese_2.8	4358856	SOV	AN_D	1	1	2	7
Chinese_2.8	5648872	SOV	DA_N	2	1	1	5
Chinese_2.8	5661341	SOV	AN_D	1	1	2	7
Chinese_2.8	6048997	SOV	AN_D	1	1	2	7
Chinese_2.8	6551783	SOV	DNA_	3	2	1	6
Chinese_2.8	7459539	SOV	AN_D	1	1	2	7
Chinese_2.8	7470743	SOV	ADN_	2	1	3	7
Chinese_2.8	8130352	SOV	AN_D	1	1	2	7
Chinese_2.8	9050252	SOV	NA_D	1	2	1	6
Chinese_2.8	9671559	SOV	A_ND	2	1	1	5
Classical_Chinese_2.8	1902083	SOV	DA_N	2	1	1	6
Classical_Chinese_2.8	2113484	SOV	DNA_	3	2	1	7
Classical_Chinese_2.8	3504106	SOV	DA_N	2	1	1	7
Classical_Chinese_2.8	4188111	SOV	NA_D	1	2	1	7
Classical_Chinese_2.8	4359199	SOV	DA_N	2	1	1	6
Classical_Chinese_2.8	4512090	SOV	DNA_	3	2	1	7
Classical_Chinese_2.8	6042694	SOV	A_ND	2	1	1	7
Classical_Chinese_2.8	7673536	SOV	NA_D	1	2	1	7
Classical_Chinese_2.8	9334963	SOV	DNA_	3	2	1	6
Classical_Chinese_2.8	9772059	SOV	DA_N	2	1	1	6
Coptic_2.8	1151212	SVO	NA_D	1	2	1	8
Coptic_2.8	2038510	SVO	DA_N	2	1	1	8
Coptic_2.8	26751	SVO	DA_N	2	1	1	8
Coptic_2.8	3567960	SVO	DA_N	2	1	1	8
Coptic_2.8	3874262	SVO	NA_D	1	2	1	8
Coptic_2.8	589391	SVO	DA_N	2	1	1	8
Coptic_2.8	7518379	SVO	NDA_	2	3	1	7
Coptic_2.8	8795395	SVO	DA_N	2	1	1	8
Coptic_2.8	9282092	SVO	DA_N	2	1	1	8
Coptic_2.8	9559648	SVO	DA_N	2	1	1	4
Croatian_2.8	2737746	SOV	DA_N	2	1	1	8
Croatian_2.8	3061133	SOV	DA_N	2	1	1	5
Croatian_2.8	3231402	SOV	DA_N	2	1	1	5
Croatian_2.8	4481880	SOV	DA_N	2	1	1	8
Croatian_2.8	588294	SOV	DA_N	2	1	1	8
Croatian_2.8	7313024	SOV	DA_N	2	1	1	8
Croatian_2.8	7819862	SOV	DA_N	2	1	1	5
Croatian_2.8	8196488	SOV	DA_N	2	1	1	8
Croatian_2.8	8309747	SOV	DA_N	2	1	1	8
Croatian_2.8	9071544	SOV	DA_N	2	1	1	8
Danish_2.8	1701313	SOV	DAN_	3	1	2	8
Danish_2.8	2067588	SVO	AD_N	1	1	2	6
Danish_2.8	2546667	OSV	NAD_	1	3	2	8
Danish_2.8	2741497	SOV	NDA_	2	3	1	8
Danish_2.8	3053532	SOV	DAN_	3	1	2	8
Danish_2.8	3255728	SOV	NDA_	2	3	1	8
Danish_2.8	4230444	OSV	NDA_	2	3	1	8
Danish_2.8	5766082	SOV	AD_N	1	1	2	8
Danish_2.8	7943880	OSV	NDA_	2	3	1	8
Danish_2.8	8377040	OSV	A_ND	2	1	1	8
Dutch_2.8	2523259	SOV	NA_D	1	2	1	8
Dutch_2.8	3599262	SOV	NA_D	1	2	1	8
Dutch_2.8	3663744	SOV	NA_D	1	2	1	8
Dutch_2.8	374298	SOV	NA_D	1	2	1	7
Dutch_2.8	4814022	SOV	A_ND	2	1	1	5
Dutch_2.8	526540	SOV	NA_D	1	2	1	8
Dutch_2.8	6344571	SOV	NA_D	1	2	1	8
Dutch_2.8	8500069	SOV	NA_D	1	2	1	8
Dutch_2.8	8969658	SOV	A_ND	2	1	1	5
Dutch_2.8	9680902	SOV	NA_D	1	2	1	8
English_2.8	1340619	SVO	NA_D	1	2	1	8
English_2.8	1992949	SVO	NA_D	1	2	1	8
English_2.8	2864607	SVO	NA_D	1	2	1	8
English_2.8	3177054	SVO	AN_D	1	1	2	8
English_2.8	4175128	SOV	A_DN	1	2	1	8
English_2.8	4814445	SVO	AN_D	1	1	2	6
English_2.8	6270719	SVO	NA_D	1	2	1	8
English_2.8	7229174	SVO	A_ND	2	1	1	8
English_2.8	7309469	SVO	AN_D	1	1	2	8
English_2.8	7343318	SOV	A_DN	1	2	1	8
English_2.8	7397660	SVO	NA_D	1	2	1	8
Erzya_2.8	2237770	SOV	DA_N	2	1	1	6
Erzya_2.8	406012	SOV	DA_N	2	1	1	4
Erzya_2.8	5455345	SVO	DNA_	3	2	1	2
Erzya_2.8	585480	SOV	DNA_	3	2	1	5
Erzya_2.8	6330659	SVO	DNA_	3	2	1	3
Erzya_2.8	7365367	SOV	DNA_	3	2	1	3
Erzya_2.8	7372047	SOV	DA_N	2	1	1	3
Erzya_2.8	7402244	SOV	DAN_	3	1	2	3
Erzya_2.8	7433569	SOV	NDA_	2	3	1	4
Erzya_2.8	8491748	SOV	DNA_	3	2	1	6
Estonian_2.8	1317571	SOV	DAN_	3	1	2	8
Estonian_2.8	1352392	OSV	DAN_	3	1	2	8
Estonian_2.8	314030	OSV	DAN_	3	1	2	8
Estonian_2.8	5161186	OSV	DAN_	3	1	2	8
Estonian_2.8	5233958	OSV	DAN_	3	1	2	8
Estonian_2.8	6182815	OSV	DAN_	3	1	2	8
Estonian_2.8	6217820	OSV	DAN_	3	1	2	7
Estonian_2.8	6443572	OSV	DAN_	3	1	2	7
Estonian_2.8	859103	SOV	DAN_	3	1	2	8
Estonian_2.8	9015688	OSV	DAN_	3	1	2	8
Faroese_2.8	1965665	SVO	DAN_	3	1	2	5
Faroese_2.8	2560968	OSV	DAN_	3	1	2	6
Faroese_2.8	479561	SVO	NDA_	2	3	1	7
Faroese_2.8	5102445	SOV	DA_N	2	1	1	7
Faroese_2.8	5249684	SOV	NDA_	2	3	1	7
Faroese_2.8	5922703	SOV	NDA_	2	3	1	7
Faroese_2.8	6340596	SVO	DAN_	3	1	2	3
Faroese_2.8	6822029	SOV	DA_N	2	1	1	7
Faroese_2.8	792693	SOV	DNA_	3	2	1	7
Faroese_2.8	99618	SVO	AN_D	1	1	2	6
Finnish_2.8	1961554	SOV	DAN_	3	1	2	8
Finnish_2.8	3969874	OSV	A_DN	1	2	1	7
Finnish_2.8	4662722	SOV	DAN_	3	1	2	8
Finnish_2.8	5137101	OSV	AND_	1	2	3	8
Finnish_2.8	5745789	OSV	AND_	1	2	3	8
Finnish_2.8	587705	SOV	DAN_	3	1	2	8
Finnish_2.8	6489289	OSV	DAN_	3	1	2	7
Finnish_2.8	6955256	SOV	DAN_	3	1	2	8
Finnish_2.8	8157897	OSV	NDA_	2	3	1	7
Finnish_2.8	8495564	OSV	AND_	1	2	3	8
French_2.8	1330692	SVO	A_ND	2	1	1	8
French_2.8	2690448	SVO	A_ND	2	1	1	8
French_2.8	3449493	SVO	A_ND	2	1	1	8
French_2.8	4103438	SVO	A_ND	2	1	1	8
French_2.8	4264652	OSV	A_ND	2	1	1	7
French_2.8	4559902	SVO	A_ND	2	1	1	8
French_2.8	6271623	SVO	A_ND	2	1	1	8
French_2.8	7617516	SVO	A_ND	2	1	1	8
French_2.8	8286138	SVO	A_ND	2	1	1	8
French_2.8	8778263	SVO	A_ND	2	1	1	8
Galician_2.8	2140196	SVO	A_DN	1	2	1	7
Galician_2.8	2415636	SVO	A_DN	1	2	1	5
Galician_2.8	263285	OSV	A_DN	1	2	1	2
Galician_2.8	3389473	OSV	A_DN	1	2	1	0
Galician_2.8	3718950	SVO	A_DN	1	2	1	5
Galician_2.8	4559231	SOV	A_DN	1	2	1	7
Galician_2.8	5058768	SVO	A_DN	1	2	1	5
Galician_2.8	6387230	SVO	A_DN	1	2	1	5
Galician_2.8	8780873	OSV	NA_D	1	2	1	0
Galician_2.8	9874472	SVO	A_ND	2	1	1	3
Gothic_2.8	2270264	SOV	DA_N	2	1	1	6
Gothic_2.8	2440093	OSV	DNA_	3	2	1	6
Gothic_2.8	3612653	OSV	DA_N	2	1	1	6
Gothic_2.8	4201380	OSV	DNA_	3	2	1	6
Gothic_2.8	4259635	SOV	A_ND	2	1	1	6
Gothic_2.8	4645489	OSV	DA_N	2	1	1	6
Gothic_2.8	6323491	SVO	DAN_	3	1	2	5
Gothic_2.8	6536798	SOV	NA_D	1	2	1	1
Gothic_2.8	7900957	OSV	DA_N	2	1	1	6
Gothic_2.8	8044736	SOV	DNA_	3	2	1	6
Greek_2.8	1501849	SVO	NA_D	1	2	1	8
Greek_2.8	2283558	SOV	NA_D	1	2	1	3
Greek_2.8	4658241	SOV	NA_D	1	2	1	2
Greek_2.8	5610909	SVO	NA_D	1	2	1	8
Greek_2.8	5989519	SOV	NA_D	1	2	1	2
Greek_2.8	6115278	SOV	NA_D	1	2	1	0
Greek_2.8	6773693	SVO	A_DN	1	2	1	5
Greek_2.8	6793989	SVO	NA_D	1	2	1	8
Greek_2.8	8240704	SOV	NA_D	1	2	1	3
Greek_2.8	977179	SVO	NA_D	1	2	1	6
Hebrew_2.8	2145421	SOV	DA_N	2	1	1	8
Hebrew_2.8	3143669	SVO	DA_N	2	1	1	6
Hebrew_2.8	3882781	SOV	ADN_	2	1	3	8
Hebrew_2.8	4879648	SOV	ADN_	2	1	3	7
Hebrew_2.8	5450390	SVO	DA_N	2	1	1	6
Hebrew_2.8	5909105	SVO	DA_N	2	1	1	7
Hebrew_2.8	6323363	SVO	DA_N	2	1	1	8
Hebrew_2.8	6762298	SOV	DAN_	3	1	2	8
Hebrew_2.8	8149735	SOV	ADN_	2	1	3	8
Hebrew_2.8	9624453	SOV	DAN_	3	1	2	8
Hindi_2.8	35113	SOV	DNA_	3	2	1	8
Hindi_2.8	4927463	SOV	DNA_	3	2	1	8
Hindi_2.8	5132131	SOV	DNA_	3	2	1	8
Hindi_2.8	5586561	SOV	DNA_	3	2	1	8
Hindi_2.8	6506808	OSV	DNA_	3	2	1	7
Hindi_2.8	6667616	SOV	DNA_	3	2	1	8
Hindi_2.8	7227023	SOV	DNA_	3	2	1	8
Hindi_2.8	7255979	SOV	NDA_	2	3	1	8
Hindi_2.8	786928	SOV	DNA_	3	2	1	8
Hindi_2.8	9509314	SOV	DNA_	3	2	1	8
Hungarian_2.8	110258	OSV	DAN_	3	1	2	7
Hungarian_2.8	3994760	SOV	DAN_	3	1	2	6
Hungarian_2.8	4675060	SOV	DAN_	3	1	2	5
Hungarian_2.8	548311	OSV	DAN_	3	1	2	5
Hungarian_2.8	5542595	SOV	DAN_	3	1	2	6
Hungarian_2.8	5729281	OSV	DAN_	3	1	2	7
Hungarian_2.8	8543350	SOV	DAN_	3	1	2	6
Hungarian_2.8	8639549	SOV	DAN_	3	1	2	5
Hungarian_2.8	8684577	SOV	DAN_	3	1	2	8
Hungarian_2.8	9097374	SOV	DAN_	3	1	2	7
Icelandic_2.8	1475017	OSV	ADN_	2	1	3	7
Icelandic_2.8	1511176	SVO	DAN_	3	1	2	8
Icelandic_2.8	2462728	SVO	DAN_	3	1	2	8
Icelandic_2.8	2875992	OSV	ADN_	2	1	3	7
Icelandic_2.8	2960301	SVO	ADN_	2	1	3	8
Icelandic_2.8	5358516	SVO	DAN_	3	1	2	8
Icelandic_2.8	5790865	SVO	ADN_	2	1	3	8
Icelandic_2.8	8059059	OSV	ADN_	2	1	3	7
Icelandic_2.8	8490322	SVO	DAN_	3	1	2	8
Icelandic_2.8	9426427	SVO	DNA_	3	2	1	8
Indonesian_2.8	2243493	SVO	DNA_	3	2	1	6
Indonesian_2.8	3640018	SOV	DNA_	3	2	1	7
Indonesian_2.8	4763338	SOV	DNA_	3	2	1	8
Indonesian_2.8	49130	SOV	DNA_	3	2	1	6
Indonesian_2.8	5161370	SOV	NDA_	2	3	1	7
Indonesian_2.8	5869365	SOV	DNA_	3	2	1	6
Indonesian_2.8	6356287	SOV	DNA_	3	2	1	7
Indonesian_2.8	8810246	SOV	DNA_	3	2	1	7
Indonesian_2.8	8912329	SOV	DNA_	3	2	1	7
Indonesian_2.8	9762892	SOV	DAN_	3	1	2	7
Irish_2.8	1091253	SOV	NA_D	1	2	1	7
Irish_2.8	2044927	OSV	NA_D	1	2	1	7
Irish_2.8	2154257	SOV	NAD_	1	3	2	8
Irish_2.8	4142574	SOV	NA_D	1	2	1	7
Irish_2.8	4776009	OSV	DNA_	3	2	1	8
Irish_2.8	6556045	SOV	DNA_	3	2	1	7
Irish_2.8	7324261	SOV	NAD_	1	3	2	8
Irish_2.8	8117928	SOV	NA_D	1	2	1	7
Irish_2.8	8668655	SOV	NA_D	1	2	1	7
Irish_2.8	9176652	SOV	NDA_	2	3	1	8
Italian_2.8	1392316	SOV	NA_D	1	2	1	8
Italian_2.8	2038161	OSV	NA_D	1	2	1	8
Italian_2.8	3830876	SOV	NAD_	1	3	2	7
Italian_2.8	4314076	OSV	NA_D	1	2	1	8
Italian_2.8	539151	OSV	AN_D	1	1	2	8
Italian_2.8	5672576	SOV	NA_D	1	2	1	8
Italian_2.8	7552814	OSV	NA_D	1	2	1	8
Italian_2.8	8166181	SOV	NA_D	1	2	1	8
Italian_2.8	8495299	SVO	AN_D	1	1	2	6
Italian_2.8	8906425	OSV	NA_D	1	2	1	8
Italian_2.8	9143556	OSV	NA_D	1	2	1	8
Japanese-GSD_2.8	2334128	SVO	A_ND	2	1	1	5
Japanese-GSD_2.8	3713392	SOV	DAN_	3	1	2	7
Japanese-GSD_2.8	5048808	SOV	DAN_	3	1	2	7
Japanese-GSD_2.8	5529611	SOV	DAN_	3	1	2	7
Japanese-GSD_2.8	5716225	SVO	A_ND	2	1	1	5
Japanese-GSD_2.8	7449401	SOV	AN_D	1	1	2	6
Japanese-GSD_2.8	7697962	SOV	DAN_	3	1	2	7
Japanese-GSD_2.8	7762888	SVO	A_ND	2	1	1	5
Japanese-GSD_2.8	8352835	SOV	DAN_	3	1	2	7
Japanese-GSD_2.8	9487088	SVO	A_ND	2	1	1	5
Kazakh_2.8	2001210	SOV	DAN_	3	1	2	8
Kazakh_2.8	2022771	SOV	DAN_	3	1	2	8
Kazakh_2.8	333111	SOV	DAN_	3	1	2	8
Kazakh_2.8	3629357	SOV	DAN_	3	1	2	8
Kazakh_2.8	4516207	SOV	DAN_	3	1	2	8
Kazakh_2.8	4886001	SOV	DAN_	3	1	2	7
Kazakh_2.8	6348187	SOV	DAN_	3	1	2	8
Kazakh_2.8	7190887	SOV	DAN_	3	1	2	8
Kazakh_2.8	7472309	OSV	NDA_	2	3	1	7
Kazakh_2.8	8639088	SOV	DAN_	3	1	2	8
Kiche_2.8	1671492	OSV	AD_N	1	1	2	4
Kiche_2.8	2932538	SOV	AND_	1	2	3	6
